EI_online,EI_offline,order,participant
31,32.36533538615648,1,4
32,29.787367956490314,1,4
24,27.920475825010744,1,4
37,25.471870778502197,1,4
36,25.57404930599112,1,4
48,27.19023001926672,1,4
37,33.3806495840609,1,4
36,34.08093529793428,1,4
39,34.2087162562006,1,4
40,34.03385479345869,1,4
47,28.567416816317603,1,4
42,33.980519107098296,1,4
58,36.10563486073688,1,4
71,44.60497288035082,1,4
70,53.23483053497024,1,4
82,63.33864235951824,1,4
88,69.98026849100617,1,4
87,61.92175802692312,1,4
75,58.37562518298006,1,4
77,52.18555437382981,1,4
62,56.83970755574192,1,4
73,60.26310431298628,1,4
59,54.87228193198006,1,4
66,46.857008971562166,1,4
62,46.29370322355815,1,4
66,45.48081002873842,1,4
58,51.2694504118634,1,4
78,47.735203835267995,1,4
54,43.172317624631525,1,4
51,38.83104601603804,1,4
46,36.25279634802526,1,4
46,42.41102701485422,1,4
64,36.590248401060485,1,4
46,36.43298703049929,1,4
47,33.48898630783621,1,4
59,28.698085437641712,1,4
41,28.262037600496814,1,4
46,31.08044447207249,1,4
51,35.61557786912456,1,4
53,33.72306416376308,1,4
49,33.94203684189293,1,4
54,48.716909758983505,1,4
77,59.87185758484465,1,4
90,61.34013913433731,1,4
84,57.55605166405997,1,4
73,56.92344893029577,1,4
76,58.646771468153105,1,4
74,52.75705244135944,1,4
69,46.61619189951651,1,4
68,36.537870865844745,1,4
51,38.422301876863735,1,4
61,38.08965542086081,1,4
56,49.22750509164664,1,4
83,57.003977792306046,1,4
63,57.66239925085909,1,4
60,48.17886577107316,1,4
53,45.8587379472994,1,4
61,44.87607878674975,1,4
67,42.44637099826816,1,4
55,44.96462820991385,1,4
71,48.61589961141292,1,4
83,45.771256591556586,1,4
63,41.93958517674078,1,4
65,46.415480735007435,1,4
64,38.272378421844415,1,4
55,34.028328265912414,1,4
55,29.48467296521631,1,4
58,29.179954321173863,1,4
53,31.38548687626153,1,4
48,24.55421127598868,1,4
47,21.14295739918114,1,4
46,23.30473118715173,1,4
47,26.8817358055893,1,4
58,38.38784091952828,1,4
55,33.89055147273586,1,4
79,45.96927261165085,1,4
68,55.939447273344435,1,4
71,54.12239056665097,1,4
73,56.886470856210956,1,4
66,53.29672688208541,1,4
59,52.06057295848582,1,4
59,43.0470045272351,1,4
64,47.43588373189172,1,4
74,53.27908685466897,1,4
65,57.85374233221401,1,4
63,51.66092281366983,1,4
59,60.63644086332906,1,4
69,51.26078859606413,1,4
53,53.78326900192146,1,4
56,54.058716590691425,1,4
71,58.03373992940581,1,4
56,64.5356060762172,1,4
70,66.28612535830403,1,4
73,67.73973146731394,1,4
67,61.7824395785883,1,4
60,63.704850382949274,1,4
