video,question,answer1,answer2,answer3,answer4,correct_answer,,,,,,,,,,,
lang,"The word ‘swevens’ in middle English, can be used as an example of:",Lexical changes,Semantic changes,Assimilation,Metathesis,Lexical changes,,,,,,,,,,,
lang,Syntactic changes are:,Word order changes,Loss of verbal morphology,Change in word meaning,Loss of word forms,Word order changes,,,,,,,,,,,
lang,Which is not a valid reason for sound change in the development of languages?,Random fluctuations in speech sounds becoming systematic changes. ,Sounds change to reduce articulation difficulties.,The change is a result of listeners’ misperception of sounds ,The sound changes are related to the social reasons. ,Random fluctuations in speech sounds becoming systematic changes. ,,,,,,,,,,,
lang,Which of the following is a correct definition of assimilation?,A process by which features of one segment affect features of a nearby segment. ,"The use of a member of one word class as if it were a member of another, thus altering its meaning.",The addition of a new word or inflectable stem from another word or stem.,A move that weakens a previous utterance in order to make it more acceptable.,A process by which features of one segment affect features of a nearby segment. ,,,,,,,,,,,
lang,The change of the word ‘path’ in spanish from semda to senda is an example of:,Place assimilation,Voicing assimilation ,Manner assimilation,Nasality assimilation ,Place assimilation,,,,,,,,,,,
lang,Palatalization can be defined as:,"A type of place assimilation, where consonants move to a more palatal place of articulation","A type of place assimilation, where vowels move to a more palatal place of articulation","A type of voicing assimilation, where consonants move to a more palatal place of articulation","A type of voicing assimilation, where vowels move away from a palatal place of articulation. ","A type of place assimilation, where consonants move to a more palatal place of articulation",,,,,,,,,,,
lang,"The change of the word ""one"" from unus to un is an example of:",Nasalization,Palatalization,Morphological changes,Articulation ,Nasalization,,,,,,,,,,,
lang,Epenthesis is a…,An articulary process,Type of assimilation,A reason for sound change in languages,A feature of language segments,An articulary process,,,,,,,,,,,
funct,Which of the following is not part of the four subsystems for actions according to Parsons?,Centralization, Adaptation,Latent pattern maintenance,Integration,Centralization,,,,,,,,,,,
funct,Which of these can be seen as a failure of latent pattern maintenance?,The Great Crash of 1929,The industrial revolution ,The election of Donald Trump,The introduction of the Euro currency,The Great Crash of 1929,,,,,,,,,,,
