channels,pos_x,pos_y,pos_z
Fpz,1.12E-04,8.82E-02,-1.71E-03
FCz,3.76E-04,2.74E-02,8.87E-02
Cz,4.01E-04,-9.17E-03,1.00E-01
Pz,3.25E-04,-8.11E-02,8.26E-02
F9,-7.01E-02,4.17E-02,-5.00E-02
F3,-5.02E-02,5.31E-02,4.22E-02
F10,7.21E-02,4.21E-02,-5.05E-02
F4,5.18E-02,5.43E-02,4.08E-02
M1,-8.61E-02,-4.50E-02,-6.80E-02
T7,-8.42E-02,-1.60E-02,-9.35E-03
C3,-6.54E-02,-1.16E-02,6.44E-02
M2,8.58E-02,-4.50E-02,-6.80E-02
T8,8.51E-02,-1.50E-02,-9.49E-03
C4,6.71E-02,-1.09E-02,6.36E-02
P9,-7.30E-02,-7.38E-02,-4.10E-02
P7,-7.24E-02,-7.35E-02,-2.49E-03
P3,-5.30E-02,-7.88E-02,5.59E-02
P10,7.39E-02,-7.44E-02,-4.12E-02
P8,7.31E-02,-7.31E-02,-2.54E-03
P4,5.57E-02,-7.86E-02,5.66E-02
O1,-2.94E-02,-1.12E-01,8.84E-03
O2,2.98E-02,-1.12E-01,8.80E-03
